Time,Rotation_pA_01
0.000,0.000,
0.100,0.000,
0.200,0.000,
0.300,0.000,
0.400,0.000,
0.500,0.000,
0.600,0.000,
0.700,-1.000,
0.800,-1.000,
0.900,-1.000,
1.000,-4.000,
1.100,-26.000,
1.200,-25.000,
1.300,-25.000,
1.400,-25.000,
1.500,-25.000,
1.600,-25.000,
1.700,-25.000,
1.800,-25.000,
1.900,-25.000,
2.000,-25.000,
2.100,-25.000,
2.200,-25.000,
2.300,-25.000,
2.400,-25.000,
2.500,-25.000,
2.600,-25.000,
2.700,-25.000,
2.800,-25.000,
2.900,-26.000,
3.000,-44.000,
3.100,-44.000,
3.200,-44.000,
3.300,-44.000,
3.400,-44.000,
3.500,-44.000,
3.600,-44.000,
3.700,-44.000,
3.800,-44.000,
3.900,-44.000,
4.000,-44.000,
4.100,-44.000,
4.200,-44.000,
4.300,-44.000,
4.400,-44.000,
4.500,-44.000,
4.600,-44.000,
4.700,-44.000,
4.800,-44.000,
4.900,-44.000,
5.000,-44.000,
5.100,-44.000,
5.200,-60.000,
5.300,-62.000,
5.400,-62.000,
5.500,-62.000,
5.600,-62.000,
5.700,-62.000,
5.800,-62.000,
5.900,-62.000,
6.000,-62.000,
6.100,-62.000,
6.200,-62.000,
6.300,-62.000,
6.400,-62.000,
6.500,-62.000,
6.600,-62.000,
6.700,-62.000,
6.800,-62.000,
6.900,-62.000,
7.000,-62.000,
7.100,-62.000,
7.200,-62.000,
7.300,-62.000,
7.400,-62.000,
7.500,-66.000,
7.600,-75.000,
7.700,-74.000,
7.800,-74.000,
7.900,-74.000,
8.000,-74.000,
8.100,-74.000,
8.200,-74.000,
8.300,-74.000,
8.400,-74.000,
8.500,-74.000,
8.600,-74.000,
8.700,-74.000,
8.800,-74.000,
8.900,-74.000,
9.000,-74.000,
9.100,-74.000,
9.200,-77.000,
9.300,-84.000,
9.400,-84.000,
9.500,-84.000,
9.600,-84.000,
9.700,-84.000,
9.800,-84.000,
9.900,-84.000,
10.000,-84.000,
10.100,-84.000,
10.200,-84.000,
10.300,-84.000,
10.400,-84.000,
10.500,-84.000,
10.600,-84.000,
10.700,-84.000,
10.800,-84.000,
10.900,-84.000,
11.000,-84.000,
11.100,-84.000,
11.200,-84.000,
11.300,-84.000,
11.400,-84.000,
11.500,-84.000,
11.600,-84.000,
11.700,-86.000,
11.800,-98.000,
11.900,-99.000,
12.000,-99.000,
12.100,-99.000,
12.200,-99.000,
12.300,-99.000,
12.400,-99.000,
12.500,-99.000,
12.600,-99.000,
12.700,-99.000,
12.800,-99.000,
12.900,-99.000,
13.000,-99.000,
13.100,-99.000,
13.200,-99.000,
13.300,-99.000,
13.400,-99.000,
13.500,-99.000,
13.600,-99.000,
13.700,-118.000,
13.800,-119.000,
13.900,-119.000,
14.000,-119.000,
14.100,-119.000,
14.200,-119.000,
14.300,-119.000,
14.400,-119.000,
14.500,-119.000,
14.600,-119.000,
14.700,-119.000,
14.800,-119.000,
14.900,-119.000,
15.000,-119.000,
15.100,-119.000,
15.200,-119.000,
15.300,-119.000,
15.400,-119.000,
15.500,-119.000,
15.600,-119.000,
15.700,-119.000,
15.800,-127.000,
15.900,-140.000,
16.000,-138.000,
16.100,-138.000,
16.200,-138.000,
16.300,-138.000,
16.400,-138.000,
16.500,-139.000,
16.600,-139.000,
16.700,-139.000,
16.800,-139.000,
16.900,-139.000,
17.000,-139.000,
17.100,-139.000,
17.200,-139.000,
17.300,-139.000,
17.400,-139.000,
17.500,-139.000,
17.600,-139.000,
17.700,-139.000,
17.800,-156.000,
17.900,-155.000,
18.000,-155.000,
18.100,-155.000,
18.200,-155.000,
18.300,-155.000,
18.400,-155.000,
18.500,-155.000,
18.600,-155.000,
18.700,-155.000,
18.800,-155.000,
18.900,-163.000,
19.000,-178.000,
19.100,-178.000,
19.200,-178.000,
19.300,-178.000,
19.400,-178.000,
19.500,-178.000,
19.600,-178.000,
19.700,-178.000,
19.800,-178.000,
19.900,-178.000,
20.000,-178.000,
20.100,-178.000,
20.200,-178.000,
20.300,-178.000,
20.400,-176.000,
20.500,-176.000,
20.600,-176.000,
20.700,-176.000,
20.800,-176.000,
20.900,-176.000,
21.000,-176.000,
21.100,-171.000,
21.200,-169.000,
21.300,-169.000,
21.400,-169.000,
21.500,-169.000,
21.600,-169.000,
21.700,-169.000,
21.800,-169.000,
21.900,-168.000,
22.000,-168.000,
22.100,-168.000,
22.200,-168.000,
22.300,-168.000,
22.400,-168.000,
22.500,-158.000,
22.600,-157.000,
22.700,-157.000,
22.800,-157.000,
22.900,-157.000,
23.000,-157.000,
23.100,-157.000,
23.200,-157.000,
23.300,-157.000,
23.400,-157.000,
23.500,-157.000,
23.600,-157.000,
23.700,-157.000,
23.800,-157.000,
23.900,-157.000,
24.000,-157.000,
24.100,-157.000,
24.200,-157.000,
24.300,-156.000,
24.400,-146.000,
24.500,-147.000,
24.600,-147.000,
24.700,-147.000,
24.800,-147.000,
24.900,-147.000,
25.000,-147.000,
25.100,-147.000,
25.200,-147.000,
25.300,-147.000,
25.400,-147.000,
25.500,-147.000,
25.600,-147.000,
25.700,-147.000,
25.800,-147.000,
25.900,-147.000,
26.000,-147.000,
26.100,-145.000,
26.200,-135.000,
26.300,-135.000,
26.400,-135.000,
26.500,-135.000,
26.600,-135.000,
26.700,-135.000,
26.800,-135.000,
26.900,-135.000,
27.000,-135.000,
27.100,-135.000,
27.200,-135.000,
27.300,-135.000,
27.400,-135.000,
27.500,-135.000,
27.600,-135.000,
27.700,-135.000,
27.800,-135.000,
27.900,-135.000,
28.000,-135.000,
28.100,-135.000,
28.200,-124.000,
28.300,-124.000,
28.400,-124.000,
28.500,-124.000,
28.600,-124.000,
